Region|USGS_province|Country|Reserve|Reserve_plus|Capital_cost|Operating_cost|Total_cost
Middle East and North Africa|Mesopotamian Foredeep Basin|Iraq, Kuwait|61.479667|95.8529488197|Nan|Nan|0.72
Middle East and North Africa|Zagros Fold Belt|Iraq, Iran|100.186333|156.2005117803|Nan|Nan|0.72
Middle East and North Africa|Khleisha Uplift|Iraq, Iran|0.465|0.7249815|Nan|Nan|0.72
Middle East and North Africa|Widyan Basin-Interior Platform|Iraq, Saudi Arabia|17.006833|26.5153533303|Nan|Nan|0.72
Middle East and North Africa|Rutbah Uplift|Iraq, Iran|0.215|0.3352065|Nan|Nan|0.72
Middle East and North Africa|Anah Graben|Iraq, Iran|0.0065|0.01013415|Nan|Nan|0.72
Middle East and North Africa|Greater Ghawar Uplift|Saudi Arabia|74.837567|116.6792507097|Nan|Nan|1.37
Middle East and North Africa|Rub Al Khali Basin|Saudi Arabia, U.A.E|99.941|155.8180131|Nan|Nan|1.37
Middle East and North Africa|Interior Homocline-Central Arch|Saudi Arabia|21.983167|34.2739556697|Nan|Nan|1.37
Middle East and North Africa|Qatar Arch|Saudi Arabia, Qatar|80.327833|125.2391244303|Nan|Nan|1.37
Asia Pacific|Greater Sarawak Basin|South China Sea|16.58|25.849878|0.97|0.68|1.66
Asia Pacific|Malay Basin|Gulf of Thailand|12.520333|19.5204511803|0.97|0.68|1.66
Asia Pacific|Baram Delta/Brunei-Sabah Basin|Malaysia Baram Delta, OFFSHORE|8.373|13.0543443|0.97|0.68|1.66
Central and South America|Magallanes Basin|Argentina Faro Virenes, ON/OFFSHORE|0.273606|0.4265791146|0.17|1.69|1.66
Central and South America|Santa Cruz-Tarija Basin|Argentina Ramos|6.860657|10.6964503287|0.94|1.03|1.96
Central and South America|Magallanes Basin|Argentina Tierra del Fuego, ON/OFFSHORE|1.575451|2.4562856541|0.71|1.33|2.04
Central and South America|Magallanes Basin|Argentina Santa Cruz II|1.043681|1.6272030471|0.59|1.57|2.16
Middle East and North Africa||Libya|7.878833|12.2838885303|1.37|1.02|2.39
North America|Alberta Basin|Alberta|5.445653|8.4903175923|Nan|Nan|2.5
Middle East and North Africa|North Egypt Basin|Egypt West Bakr|0.212414|0.3311746674|1.94|0.77|2.71
Middle East and North Africa|Red Sea Basin|Red Sea|11.446667|17.8464985197|Nan|Nan|2.74
Middle East and North Africa|Chad|Chad Sedigui Oil Project|0.003007|0.0046882137|1.67|1.1|2.76
Sub-Saharan Africa and Antartica|Niger Delta|Nigeria|36.715667|57.2433964197|0.79|1.98|2.77
Sub-Saharan Africa and Antartica|West-Central Coastal|OFFSHORE Angola, Congo, Gabon, Eq. Guinea, Cameroon|16.512167|25.7441195697|0.79|1.98|2.77
Middle East and North Africa|Nile Delta Basin|Egypt El Mansoura|0.684067|1.0665288597|1.48|1.47|2.96
Middle East and North Africa|Abu Gharadiq Basin|Egype Badr El Din|1.387747|2.1636363477|1.98|0.99|2.97
North America|Alberta Basin|Canada Artic Cameron Hills|0.680707|1.0612902837|1.72|1.26|2.98
Middle East and North Africa|Remaining Provinces|Middle East and North Africa – remaining|12.042032|18.7747320912|Nan|Nan|3.14
Middle East and North Africa|North Egypt Basin|Egypt Oarun|0.443|0.6906813|1.91|1.29|3.19
Central and South America|Magallanes Basin|Argentina Santa Cruz II|1.138561|1.7751304551|1.57|1.67|3.24
Central and South America|Neuquen Basin|Argentina Faro Virenes, ON/OFFSHORE|4.247167|6.6217580697|1.57|1.67|3.24
Asia Pacific|Pearl River Mouth Basin|China Xijiang Area, OFFSHORE|0.727229|1.1338227339|2.08|1.44|3.52
Central and South America|Lianos Basin|Colombia|2.585333|4.0307926803|1.76|1.98|3.74
Central and South America|Middle Magdalena|Colombia|0.997333|1.5549418803|1.76|1.98|3.74
Middle East and North Africa|Illizy Basin|Algeria Gassi Touil Integrated Gas Project|12.074833|18.8258721303|2.24|1.51|3.75
Central and South America|Maracaibo Basin|Venezuela|7.216333|11.2509847803|1.88|1.88|3.76
Central and South America|East Venezuela Basin|Venezuela|33.271|51.8728161|1.88|1.88|3.76
Central and South America|Tobago Trough|Caribbean Sea|7.117167|11.0963750697|1.88|1.88|3.76
Central and South America|Guyana-Suriname Basin|Guyana, Suriname, French Guiana|7.009667|10.9287718197|1.88|1.88|3.76
Central and South America|Campos Basin|Brazil Chinook, OFFSHORE|2.935602|4.5768970782|1.62|2.28|3.9
Asia Pacific|Pearl River Mouth Basin|China Block 15/34 (Panyu 4-2 and Panyu 5-1), OFFSHORE|0.260147|0.4055951877|2.21|2.02|4.24
Former Soviet Union|Chu-Sarysu Basin|Kazakhstan Amangeld Area|0.708738|1.1049934158|1.52|2.74|4.26
Europe|Northwest German Basin|Germany, Netherlands, North Sea|12.709|19.8146019|2.12|2.19|4.3
Europe|Provence Basin|Mediterranean Sea|8.535|13.3069185|2.12|2.19|4.3
Europe|Po Basin|Italy, Adriatic Sea|4.553833|7.0998810303|2.12|2.19|4.3
Europe|Transylvanian Basin|Romania|1.936667|3.0194575197|2.12|2.19|4.3
Asia Pacific|Kutei Basin|Indonesia Makassar, OFFSHORE|16.919833|26.3797116303|2.12|2.26|4.38
Central and South America|Remaining Provinces|Central and South America Remaining Provinces|10.941628|17.0590922148|||4.48
Asia Pacific|Bohaiwan Basin|China Block 11/05 (Peng Lai 19-3), OFFSHORE|2.477149|3.8621230059|2.63|1.89|4.52
Sub-Saharan Africa and Antartica|Remaining Provinces|Sub-Saharan Africa and Antartica – Remaining provinces|3.599|5.6112009|||4.56
